ชุดที่,
ปีบัญชีที่,
ครั้งที่สรรหา,

รายละเอียดเพิ่มเติม,
"id","ภาค","ชื่อกลุ่ม","จำนวนผู้ได้รับตำแหน่ง","จำนวนสำรอง"
"1","ส่วนกลาง","ส่วนกลางกรมส่งเสริมการเกษตร","",""
"2","ส่วนกลาง","กรุงเทพมหานคร","",""
"3","ภาคใต้","กระบี่","",""
"4","ภาคตะวันตก","กาญจนบุรี","",""
"5","ภาคตะวันออกเฉียงเหนือ","กาฬสินธุ์","",""
"6","ส่วนกลาง","กำแพงเพชร","",""
"7","ภาคตะวันออกเฉียงเหนือ","ขอนแก่น","",""
"8","ภาคตะวันออก","จันทบุรี","",""
"9","ภาคตะวันออก","ฉะเชิงเทรา","",""
"10","ภาคตะวันออก","ชลบุรี","",""
"11","ภาคกลาง","ชัยนาท","",""
"12","ภาคตะวันออกเฉียงเหนือ","ชัยภูมิ","",""
"13","ภาคใต้","ชุมพร","",""
"14","ภาคเหนือ","เชียงราย","",""
"15","ภาคเหนือ","เชียงใหม่","",""
"16","ภาคตะวันออก","ตราด","",""
"17","ภาคตะวันตก","ตาก","",""
"18","ภาคใต้","ตรัง","",""
"19","ภาคกลาง","นครนายก","",""
"20","ภาคกลาง","นครปฐม","",""
"21","ภาคตะวันออกเฉียงเหนือ","นครพนม","",""
"22","ภาคตะวันออกเฉียงเหนือ","นครราชสีมา","",""
"23","ภาคใต้","นครศรีธรรมราช","",""
"24","ภาคกลาง","นนทบุรี","",""
"25","ภาคกลาง","นครสวรรค์","",""
"26","ภาคเหนือ","น่าน","",""
"27","ภาคใต้","นราธิวาส","",""
"28","ภาคตะวันออกเฉียงเหนือ","บุรีรัมย์","",""
"29","ภาคตะวันออกเฉียงเหนือ","บึงกาฬ","",""
"30","ภาคกลาง","ปทุมธานี","",""
"31","ภาคตะวันตก","ประจวบคีรีขันธุ์","",""
"32","ภาคตะวันออก","ปราจีนบุรี","",""
"33","ภาคใต้","ปัตตานี","",""
"34","ภาคกลาง","พระนครศรีอยุธยา","",""
"35","ภาคใต้","พังงา","",""
"36","ภาคใต้","พัทลุง","",""
"37","ภาคกลาง","พิจิตร","",""
"38","ภาคกลาง","พิษณุโลก","",""
"39","ภาคกลาง","เพชรบูรณ์","",""
"40","ภาคตะวันตก","เพชรบุรี","",""
"41","ภาคเหนือ","แพร่","",""
"42","ภาคเหนือ","พะเยา","",""
"43","ภาคใต้","ภูเก็ต","",""
"44","ภาคตะวันออกเฉียงเหนือ","มหาสารคาม","",""
"45","ภาคเหนือ","แม่ฮ่องสอน","",""
"46","ภาคตะวันออกเฉียงเหนือ","มุกดาหาร","",""
"47","ภาคใต้","ยะลา","",""
"48","ภาคตะวันออกเฉียงเหนือ","ยโสธร","",""
"49","ภาคใต้","ระนอง","",""
"50","ภาคตะวันออก","ระยอง","",""
"51","ภาคตะวันออกเฉียงเหนือ","ร้อยเอ็ด","",""
"52","ภาคตะวันตก","ราชบุรี","",""
"53","ภาคกลาง","ลพบุรี","",""
"54","ภาคเหนือ","ลำปาง","",""
"55","ภาคเหนือ","ลำพูน","",""
"56","ภาคเหนือ","เลย","",""
"57","ภาคตะวันออกเฉียงเหนือ","ศรีสะเกษ","",""
"58","ภาคตะวันออกเฉียงเหนือ","สกลนคร","",""
"59","ภาคใต้","สงขลา","",""
"60","ภาคใต้","สตูล","",""
"61","ภาคกลาง","สมุทรปราการ","",""
"62","ภาคกลาง","สมุทรสงคราม","",""
"63","ภาคกลาง","สมุทรสาคร","",""
"64","ภาคตะวันออกเฉียงเหนือ","สระแก้ว","",""
"65","ภาคกลาง","สระบุรี","",""
"66","ภาคกลาง","สิงห์บุรี","",""
"67","ภาคกลาง","สุโขทัย","",""
"68","ภาคกลาง","สุพรรณบุรี","",""
"69","ภาคใต้","สุราษฎร์ธานี","",""
"70","ภาคตะวันออกเฉียงเหนือ","สุรินทร์","",""
"71","ภาคตะวันออกเฉียงเหนือ","หนองบัวลำภู","",""
"72","ภาคตะวันออกเฉียงเหนือ","หนองคาย","",""
"73","ภาคกลาง","อ่างทอง","",""
"74","ภาคตะวันออกเฉียงเหนือ","อุดรธานี","",""
"75","ภาคเหนือ","อุตรดิตถ์","",""
"76","ภาคกลาง","อุทัยธานี","",""
"77","ภาคตะวันออกเฉียงเหนือ","อุบลราชธานี","",""
"78","ภาคตะวันออกเฉียงเหนือ","อำนาจเจริญ","",""
"79","ส่วนกลาง","กรมหม่อนไหม","",""
"80","ส่วนกลาง","กรมการข้าว","",""
